;site_code;site_name;value_amount;lon;lat;name_map
677;28895;Русская Поляна;17173;73.883333;53.783333;Русская Поляна (28895) кол-во измерений:17173
678;28900;Самара;17805;50.22;53.25;Самара (28900) кол-во измерений:17805
679;28901;Аглос;17221;50.1;52.97;Аглос (28901) кол-во измерений:17221
680;28903;Боровое лесничество;17491;52.05;53.0;Боровое лесничество (28903) кол-во измерений:17491
681;28908;Авангард Зерн.с/з;17506;51.28;52.62;Авангард Зерн.с/з (28908) кол-во измерений:17506
682;28909;Бузулук;7926;52.22;52.82;Бузулук (28909) кол-во измерений:7926
683;28916;Шарлык;17719;54.75;52.93;Шарлык (28916) кол-во измерений:17719
684;28925;Мелеуз;17620;55.919444;52.932778;Мелеуз (28925) кол-во измерений:17620
685;28926;Кананикольское;17220;57.483611;52.776667;Кананикольское (28926) кол-во измерений:17220
686;28927;Кумертау;17629;55.78;52.76;Кумертау (28927) кол-во измерений:17629
687;28928;Мраково;17417;56.653611;52.731944;Мраково (28928) кол-во измерений:17417
688;28938;Баймак;17139;58.3;52.6;Баймак (28938) кол-во измерений:17139
689;28939;Кизильское;17743;58.88;52.72;Кизильское (28939) кол-во измерений:17743
690;28941;Карталы;17742;60.67000000000001;53.05;Карталы (28941) кол-во измерений:17742
691;29016;Прохоркино;17270;79.28;59.31;Прохоркино (29016) кол-во измерений:17270
692;29023;Напас;17382;81.57;59.51;Напас (29023) кол-во измерений:17382
693;29037;Березовка;17643;82.6;59.3;Березовка (29037) кол-во измерений:17643
694;29059;Александровский Шлюз;17686;89.3;59.42000000000001;Александровский Шлюз (29059) кол-во измерений:17686
695;29068;Назимово;17002;91.02;59.5;Назимово (29068) кол-во измерений:17002
696;29111;Средний Васюган;17747;78.14;59.13;Средний Васюган (29111) кол-во измерений:17747
697;29122;Каргасок;17694;80.51;59.04;Каргасок (29122) кол-во измерений:17694
698;29128;Парабель;16880;81.29;58.42;Парабель (29128) кол-во измерений:16880
699;29149;Степановка;14487;86.44;58.38;Степановка (29149) кол-во измерений:14487
700;29154;Усть-Озерное;17734;87.918444;58.747528;Усть-Озерное (29154) кол-во измерений:17734
701;29203;Новый Васюган;17337;76.31;58.35;Новый Васюган (29203) кол-во измерений:17337
702;29209;Майск;16350;77.13;57.49;Майск (29209) кол-во измерений:16350
703;29224;Старица;17363;80.35;58.09;Старица (29224) кол-во измерений:17363
704;29231;Колпашевская зональная;17775;82.57;58.19;Колпашевская зональная (29231) кол-во измерений:17775
705;29237;Подгорное;13754;82.4;57.47;Подгорное (29237) кол-во измерений:13754
706;29247;Батурино;17313;85.09;57.47;Батурино (29247) кол-во измерений:17313
707;29253;Лосиноборское;17036;89.37;58.43;Лосиноборское (29253) кол-во измерений:17036
708;29263;Енисейск;17775;92.15;58.45;Енисейск (29263) кол-во измерений:17775
709;29274;Стрелка;17532;93.0;58.08;Стрелка (29274) кол-во измерений:17532
710;29276;Мотыгино;17146;94.7;58.18;Мотыгино (29276) кол-во измерений:17146
711;29282;Богучаны;17773;97.45;58.38;Богучаны (29282) кол-во измерений:17773
712;29313;Пудино;16732;79.26;57.34;Пудино (29313) кол-во измерений:16732
713;29328;Бакчар;17654;82.04;57.0;Бакчар (29328) кол-во измерений:17654
714;29332;Молчаново;14742;83.46;57.35;Молчаново (29332) кол-во измерений:14742
715;29348;Первомайское;17674;86.13;57.04;Первомайское (29348) кол-во измерений:17674
716;29355;Тегульдет;16977;88.09;57.18;Тегульдет (29355) кол-во измерений:16977
717;29363;Пировское;17258;92.2667;57.6333;Пировское (29363) кол-во измерений:17258
718;29367;Новобирилюссы;11823;90.52;57.07;Новобирилюссы (29367) кол-во измерений:11823
719;29374;Казачинское;17737;93.2833;57.6833;Казачинское (29374) кол-во измерений:17737
720;29379;Тасеево;9739;94.55;57.2;Тасеево (29379) кол-во измерений:9739
721;29393;Червянка;17588;99.53;57.65;Червянка (29393) кол-во измерений:17588
722;29401;Седельниково;17379;75.307222;56.946667;Седельниково (29401) кол-во измерений:17379
